date,region,subregion,cases,deaths
2020-01-31,Centre,LAZ,2,0
2020-02-06,Centre,LAZ,1,0
2020-02-21,North-West,LOM,15,0
2020-02-21,North-East,VEN,2,1
2020-02-22,North-West,PIE,1,0
2020-02-22,North-West,LOM,40,1
2020-02-22,North-East,VEN,16,0
2020-02-22,North-East,EMR,2,0
2020-02-23,North-West,PIE,2,0
2020-02-23,North-West,LOM,57,1
2020-02-23,North-East,VEN,7,0
2020-02-23,North-East,EMR,7,0
2020-02-24,North-West,LOM,61,4
2020-02-24,North-East,VEN,7,0
2020-02-24,North-East,EMR,9,0
2020-02-25,North-West,LIG,1,0
2020-02-25,North-West,LOM,67,2
2020-02-25,North-East,VEN,11,1
2020-02-25,North-East,BZ,1,0
2020-02-25,North-East,EMR,8,0
2020-02-25,Centre,TOS,2,0
2020-02-25,Islands,SIC,3,0
2020-02-26,North-West,LIG,10,0
2020-02-26,North-West,LOM,65,1
2020-02-26,North-East,VEN,28,0
2020-02-26,North-East,EMR,21,1
2020-02-26,Centre,MAR,1,0
2020-02-27,North-West,LIG,8,0
2020-02-27,North-West,PIE,1,0
2020-02-27,North-West,LOM,98,5
2020-02-27,North-East,VEN,40,0
2020-02-27,North-East,EMR,50,0
2020-02-27,Centre,MAR,2,0
2020-02-27,South,ABR,1,0
2020-02-27,South,CAM,3,0
2020-02-27,South,PUG,1,0
2020-02-27,Islands,SIC,1,0
2020-02-28,North-West,PIE,9,0
2020-02-28,North-West,LOM,128,3
2020-02-28,North-East,VEN,40,0
2020-02-28,North-East,EMR,48,1
2020-02-28,Centre,MAR,3,0
2020-02-28,Centre,TOS,6,0
2020-02-28,South,CAM,1,0
2020-02-28,South,PUG,2,0
2020-02-28,South,CAL,1,0
2020-02-29,North-West,LIG,23,0
2020-02-29,North-West,LOM,84,6
2020-02-29,North-East,VEN,40,0
2020-02-29,North-East,EMR,72,2
2020-02-29,Centre,MAR,5,0
2020-02-29,Centre,TOS,3,0
2020-02-29,Centre,LAZ,3,0
2020-02-29,South,ABR,1,0
2020-02-29,South,CAM,9,0
2020-03-01,North-West,LIG,17,0
2020-03-01,North-West,PIE,38,0
2020-03-01,North-West,LOM,369,1
2020-03-01,North-East,VEN,72,0
2020-03-01,North-East,FVG,6,0
2020-03-01,North-East,EMR,68,4
2020-03-01,Centre,MAR,14,0
2020-03-01,Centre,TOS,2,0
2020-03-01,Centre,UMB,2,0
2020-03-01,South,ABR,3,0
2020-03-01,South,CAM,4,0
2020-03-01,Islands,SIC,5,0
2020-03-02,North-West,LIG,3,0
2020-03-02,North-West,PIE,2,0
2020-03-02,North-West,LOM,270,14
2020-03-02,North-East,VEN,10,0
2020-03-02,North-East,FVG,3,0
2020-03-02,North-East,EMR,50,3
2020-03-02,Centre,MAR,10,1
2020-03-02,Centre,LAZ,1,0
