date,time,region,subregion,cases,deaths
2020-01-20,N/A,Gyeonggi,Incheon,1,0
2020-01-24,N/A,Gyeonggi,Seoul,1,0
2020-01-26,N/A,Gyeonggi,Gyeonggi,1,0
2020-01-27,N/A,Gyeonggi,Gyeonggi,1,0
2020-01-30,23:59,Gyeonggi,Seoul,3,0
2020-01-31,N/A,Gyeonggi,Seoul,3,0
2020-01-31,N/A,Jeolla,Jeonbuk,1,0
2020-02-01,9:00,Gyeonggi,Gyeonggi,1,0
2020-02-02,9:00,Gyeonggi,Gyeonggi,2,0
2020-02-04,10:00,Jeolla,Gwangju,1,0
2020-02-05,10:00,Gyeonggi,Gyeonggi,1,0
2020-02-05,10:00,Jeolla,Gwangju,1,0
2020-02-06,9:00,Gyeonggi,Seoul,3,0
2020-02-06,9:00,Gyeonggi,Gyeonggi,1,0
2020-02-06,9:00,Jeolla,Jeonnam,1,0
2020-02-09,9:00,Gyeonggi,Gyeonggi,1,0
2020-02-09,16:30,Gyeonggi,Gyeonggi,2,0
2020-02-11,9:00,Gyeonggi,Gyeonggi,1,0
2020-02-16,9:00,Gyeonggi,Seoul,1,0
2020-02-17,9:00,Gyeonggi,Seoul,1,0
2020-02-18,9:00,Gyeongsang,Daegu,1,0
2020-02-19,9:00,Gyeonggi,Seoul,2,0
2020-02-19,9:00,Gyeongsang,Gyeongbuk,3,0
2020-02-19,9:00,Gyeongsang,Daegu,10,0
2020-02-19,16:00,Gyeongsang,Daegu,5,0
2020-02-20,9:00,Gyeonggi,Seoul,1,0
2020-02-20,9:00,Gyeongsang,Gyeongbuk,8,0
2020-02-20,9:00,Gyeongsang,Daegu,22,0
2020-02-20,16:00,Gyeonggi,Seoul,1,0
2020-02-20,16:00,Gyeongsang,Gyeongbuk,13,1
2020-02-20,16:00,Gyeongsang,Daegu,8,0
2020-02-21,9:00,Gyeonggi,Seoul,3,0
2020-02-21,9:00,Gyeonggi,Gyeonggi,1,0
2020-02-21,9:00,Gyeongsang,Gyeongbuk,3,1
2020-02-21,9:00,Gyeongsang,Daegu,38,0
2020-02-21,9:00,Gyeongsang,Gyeongnam,2,0
2020-02-21,9:00,Chungcheong,Chungbuk,1,0
2020-02-21,9:00,Chungcheong,Chungnam,1,0
2020-02-21,9:00,Jeolla,Jeonbuk,1,0
2020-02-21,9:00,Jeolla,Gwangju,1,0
2020-02-21,9:00,Jeolla,Jeju,1,0
2020-02-21,16:00,Gyeonggi,Seoul,2,0
2020-02-21,16:00,Gyeonggi,Gyeonggi,1,0
2020-02-21,16:00,Gyeongsang,Daegu,42,0
2020-02-21,16:00,Gyeongsang,Gyeongnam,2,0
2020-02-21,16:00,Jeolla,Gwangju,1,0
2020-02-22,9:00,Gyeonggi,Gyeonggi,2,0
2020-02-22,9:00,Gyeongsang,Gyeongbuk,103,0
2020-02-22,9:00,Gyeongsang,Daegu,28,0
2020-02-22,9:00,Gyeongsang,Busan,2,0
2020-02-22,9:00,Chungcheong,Chungbuk,2,0
2020-02-22,9:00,Chungcheong,Sejong,1,0
2020-02-22,9:00,Chungcheong,Daejeon,1,0
2020-02-22,9:00,Jeolla,Jeonbuk,1,0
2020-02-22,9:00,Jeolla,Gwangju,1,0
2020-02-22,9:00,Jeolla,Jeju,1,0
2020-02-22,16:00,Gyeonggi,Seoul,3,0
2020-02-22,16:00,Gyeonggi,Gyeonggi,4,0
2020-02-22,16:00,Gangwon,,5,0
2020-02-22,16:00,Gyeongsang,Gyeongbuk,14,0
2020-02-22,16:00,Gyeongsang,Daegu,55,0
2020-02-22,16:00,Gyeongsang,Busan,1,0
2020-02-22,16:00,Gyeongsang,Ulsan,1,0
2020-02-22,16:00,Chungcheong,Daejeon,1,0
2020-02-22,16:00,Jeolla,Gwangju,2,0
2020-02-22,16:00,Jeolla,Jeonnam,1,0
2020-02-23,9:00,Gyeonggi,Gyeonggi,2,0
2020-02-23,9:00,Gyeongsang,Gyeongbuk,20,2
2020-02-23,9:00,Gyeongsang,Daegu,93,0
2020-02-23,9:00,Gyeongsang,Gyeongnam,4,0
2020-02-23,9:00,Gyeongsang,Busan,2,0
2020-02-23,9:00,Jeolla,Gwangju,1,0
2020-02-23,9:00,Jeolla,Jeju,1,0
2020-02-23,16:00,Gyeonggi,Seoul,1,0
2020-02-23,16:00,Gyeonggi,Gyeonggi,2,0
2020-02-23,16:00,Gyeongsang,Gyeongbuk,5,0
2020-02-23,16:00,Gyeongsang,Daegu,24,1
2020-02-23,16:00,Gyeongsang,Gyeongnam,6,0
2020-02-23,16:00,Gyeongsang,Busan,6,0
2020-02-23,16:00,Chungcheong,Daejeon,1,0
2020-02-23,16:00,Jeolla,Gwangju,1,0
2020-02-24,9:00,Gyeonggi,Seoul,3,0
2020-02-24,9:00,Gyeonggi,Gyeonggi,10,0
2020-02-24,9:00,Gyeongsang,Gyeongbuk,11,3
2020-02-24,9:00,Gyeongsang,Daegu,131,0
2020-02-24,9:00,Gyeongsang,Gyeongnam,3,0
2020-02-24,9:00,Gyeongsang,Busan,2,0
2020-02-24,9:00,Jeolla,Gwangju,1,0
2020-02-24,16:00,Gyeonggi,Seoul,1,0
2020-02-24,16:00,Gyeonggi,Gyeonggi,1,0
2020-02-24,16:00,Gyeongsang,Gyeongbuk,12,0
2020-02-24,16:00,Gyeongsang,Daegu,42,0
2020-02-24,16:00,Gyeongsang,Busan,13,0
2020-02-24,16:00,Gyeongsang,Ulsan,1,0
2020-02-25,9:00,Gyeonggi,Seoul,2,0
2020-02-25,9:00,Gyeonggi,Gyeonggi,5,0
2020-02-25,9:00,Gyeongsang,Gyeongbuk,33,1
2020-02-25,9:00,Gyeongsang,Daegu,16,0
2020-02-25,9:00,Gyeongsang,Gyeongnam,1,0
2020-02-25,9:00,Gyeongsang,Busan,3,0
2020-02-25,16:00,Gyeonggi,Seoul,4,0
2020-02-25,16:00,Gyeonggi,Gyeonggi,2,0
2020-02-25,16:00,Gyeongsang,Gyeongbuk,23,2
2020-02-25,16:00,Gyeongsang,Daegu,44,0
2020-02-25,16:00,Gyeongsang,Gyeongnam,2,0
2020-02-25,16:00,Gyeongsang,Busan,5,0
2020-02-25,16:00,Gyeongsang,Ulsan,1,0
2020-02-25,16:00,Chungcheong,Chungbuk,1,0
2020-02-25,16:00,Chungcheong,Chungnam,1,0
2020-02-26,9:00,Gyeonggi,Incheon,1,0
2020-02-26,9:00,Gyeonggi,Seoul,4,0
2020-02-26,9:00,Gyeonggi,Gyeonggi,1,1
2020-02-26,9:00,Gyeongsang,Gyeongbuk,19,0
2020-02-26,9:00,Gyeongsang,Daegu,134,0
2020-02-26,9:00,Gyeongsang,Gyeongnam,2,0
2020-02-26,9:00,Gyeongsang,Busan,8,0
2020-02-26,16:00,Gyeonggi,Seoul,4,0
2020-02-26,16:00,Gyeonggi,Gyeonggi,8,0
2020-02-26,16:00,Gyeongsang,Gyeongbuk,49,0
2020-02-26,16:00,Gyeongsang,Daegu,33,1
2020-02-26,16:00,Gyeongsang,Gyeongnam,9,0
2020-02-26,16:00,Gyeongsang,Busan,8,0
2020-02-26,16:00,Gyeongsang,Ulsan,1,0
2020-02-26,16:00,Chungcheong,Daejeon,2,0
2020-02-26,16:00,Chungcheong,Chungnam,1,0
2020-02-27,9:00,Gyeonggi,Seoul,6,0
2020-02-27,9:00,Gyeonggi,Gyeonggi,4,0
2020-02-27,9:00,Gyeongsang,Gyeongbuk,4,0
2020-02-27,9:00,Gyeongsang,Daegu,307,0
2020-02-27,9:00,Gyeongsang,Gyeongnam,2,0
2020-02-27,9:00,Chungcheong,Chungbuk,2,0
2020-02-27,9:00,Chungcheong,Daejeon,3,0
2020-02-27,9:00,Chungcheong,Chungnam,4,0
2020-02-27,16:00,Gyeonggi,Seoul,1,0
2020-02-27,16:00,Gyeonggi,Gyeonggi,7,0
2020-02-27,16:00,Gyeongsang,Gyeongbuk,24,0
2020-02-27,16:00,Gyeongsang,Daegu,115,1
2020-02-27,16:00,Gyeongsang,Gyeongnam,7,0
2020-02-27,16:00,Gyeongsang,Busan,3,0
2020-02-27,16:00,Gyeongsang,Ulsan,5,0
2020-02-27,16:00,Chungcheong,Chungbuk,1,0
2020-02-27,16:00,Chungcheong,Daejeon,1,0
2020-02-27,16:00,Chungcheong,Chungnam,5,0
2020-02-27,16:00,Jeolla,Jeonbuk,2,0
2020-02-28,9:00,Gyeonggi,Incheon,1,0
2020-02-28,9:00,Gyeonggi,Seoul,6,0
2020-02-28,9:00,Gyeonggi,Gyeonggi,4,0
2020-02-28,9:00,Gyeongsang,Gyeongbuk,49,0
2020-02-28,9:00,Gyeongsang,Daegu,182,0
2020-02-28,9:00,Gyeongsang,Gyeongnam,3,0
2020-02-28,9:00,Gyeongsang,Busan,2,0
